V1,flag,B1_4_7,B5_4_7,L_4_7,loc.B5_4_7,B1_B5_angle_4_7,NPA_1,NPA_3,NPA_2,NPA_18,NPA_27,NPA_29,diff_NBO_1_3,diff_NBO_2_18,diff_NBO_27_29,dip_x_1,dip_y_1,dip_z_1,Total_1,dip_x_2,dip_y_2,dip_z_2,-1-3-,-2-18-,-27-29-,cross_1,cross.angle_1,para_1,para.angle_1,-5V6-,-23V24-,-25V26-,Dihedral(1_4_7_8),Dihedral(1_2_19_27),"Dist(1, 3)","Dist(2, 18)","Dist(27, 29)",class
basic,1,1.7,3.14,6.38,4.13,93,0.68737,-0.63063,-0.61889,0.43421,0.78512,-0.56089,1.318,-1.0531,1.34601,-1.4865,0.1087,-0.2741,1.5155,-0.3934,0.1158,1.4589,1779.1819,3599.1035,1905.2005,1658.8678,87.8794474899504,1681.3004,2.07716523856562,1462.8681,1501.1783,1533.4621,85.3902132922284,173.137923079026,1.21505252357048,1.010991186242,1.1922727992515,1
m_Br,2,1.74,4.8,6.47,4.52,94,0.68718,-0.62588,-0.61973,0.43313,0.78554,-0.5605,1.31306,-1.05286,1.34604,-2.5164,1.4527,-0.3683,2.9289,-0.1255,0.9957,2.7515,1782.182,3598.4454,1905.6669,1644.1077,84.0471766055912,1669.4227,2.83134120602938,1464.0402,1499.2378,1533.2095,90.4130173950837,176.528119741254,1.21430841910777,1.01116020957413,1.1922417172411,2
m_CF3,3,1.88,4.9,6.84,3.63,86,0.68694,-0.62416,-0.61954,0.43217,0.78566,-0.56094,1.3111,-1.05171,1.3466,-3.4571,2.0592,-0.1479,4.0267,0.0716,1.5264,3.7254,1783.3355,3599.5457,1905.0809,1669.2028,61.0348843559818,1690.6302,29.0261324194731,1464.3313,1500.9337,1533.6615,89.3395718975768,176.565836311684,1.21393160777121,1.01104799508678,1.19235687394546,2
m_CF3_p_F,4,1.89,4.91,6.96,3.55,101,0.68568,-0.62336,-0.61919,0.43101,0.78555,-0.56101,1.30904,-1.0502,1.34656,-3.4171,3.412,-0.1452,4.831,-0.0998,3.008,3.779,1784.6838,3602.0241,1904.9646,1674.7392,58.8676531333866,1700.0488,32.5800020355265,1463.6059,1499.1544,1533.2235,89.9966932168319,176.219111872584,1.21375295213029,1.01087256612592,1.19239732059452,2
m_Cl,5,1.7,4.51,6.38,4.44,92,0.68715,-0.62625,-0.6194,0.43317,0.78548,-0.56047,1.3134,-1.05257,1.34595,-2.51,1.3796,-0.3238,2.8824,-0.2045,0.9609,2.7098,1781.5094,3597.931,1905.6082,1649.5318,88.7911808474303,1672.3977,0.444261794558416,1463.6808,1500.6538,1533.4234,88.30724063685,175.962588566081,1.21432932949262,1.01115052017541,1.19224058505698,2
m_CN,6,1.7,5.14,6.58,4.88,90,0.68668,-0.62191,-0.61962,0.43154,0.78587,-0.5615,1.30859,-1.05116,1.34737,-4.9341,3.0217,-0.1569,5.788,0.2979,2.2389,5.3291,1784.4189,3597.491,1904.6655,1655.5929,58.2169491791856,1679.8508,31.9087556943417,1463.9159,1500.8398,1533.3781,90.6447536946031,177.125759497455,1.21353439168159,1.01101292252918,1.19247674403193,2
m_F,7,1.7,3.7,6.38,4.24,93,0.68723,-0.62652,-0.61947,0.43349,0.78547,-0.56068,1.31375,-1.05296,1.34615,-2.4305,1.3112,-0.3508,2.7837,-0.2294,0.8555,2.6391,1781.8434,3600.239,1905.3541,1668.516,89.9591721682101,1687.534,1.65303044406448,1464.8565,1501.783,1533.3464,87.6163169689587,175.463620848102,1.214405857371,1.01111906185028,1.1922574472898,2
m_I,8,1.8,5.17,6.77,4.62,97,0.68727,-0.62635,-0.61958,0.4333,0.78549,-0.56037,1.31362,-1.05288,1.34586,-2.3676,1.3087,-0.3832,2.7322,-0.1343,0.9575,2.5554,1781.7211,3599.3147,1905.6567,1638.4137,83.0046184915117,1665.4547,4.46134989916169,1463.0836,1500.5781,1533.9038,92.0364586407847,176.528576055124,1.2143517887091,1.0111375795662,1.19221686424828,2
m_Me,9,1.7,4.32,6.38,3.89,81,0.68809,-0.63094,-0.6196,0.43457,0.78559,-0.56315,1.31903,-1.05417,1.34874,-1.2295,-0.2088,0.0094,1.2471,-0.1842,-0.1503,1.2243,1777.9778,3601.4804,1903.5672,1663.3906,59.7187384118359,1680.8685,30.0053951526351,1462.3386,1498.9557,1532.8473,80.789637758658,170.857421028105,1.2151119848121,1.01075826970992,1.19264673505485,2
m_nitro,10,1.7,4.82,6.88,3.67,92,0.68683,-0.62133,-0.61913,0.43082,0.78594,-0.56179,1.30816,-1.04995,1.34773,-4.9926,2.9888,-0.1077,5.8199,0.2286,2.5014,5.2499,1786.1815,3601.6058,1904.4283,1655.0457,89.794645543041,1672.6511,13.7963938363394,1463.7547,1499.243,1533.1813,91.3652864120619,176.825259795744,1.2133476272936,1.01087978320916,1.19253093920032,2
