"","formula","R.sq","Q.sq","MAE","Model","dataset"
"9604","`output` ~ `B5_4_7` + `NPA_18` + `Dist(2, 18)` + `Dist(27, 29)`",0.826828676035235,0.774978689947527,5.78310881004354,1,"conformer_7_LasR_above_15.csv"
"6102","`output` ~ `B5_4_7` + `NPA_29` + `dip_x_1` + `-2-18-`",0.824614670163974,0.771743487531431,5.59725376912321,2,"conformer_7_LasR_above_15.csv"
"9126","`output` ~ `B5_4_7` + `NPA_2` + `dip_y_2` + `-5V6-`",0.848077317921409,0.768681297752951,5.99875204537605,1,"conformer_0_LasR_above_15.csv"
"1121","`output` ~ `B5_4_7` + `dip_x_1` + `-2-18-` + `Dist(27, 29)`",0.822041637824283,0.767810379955456,5.52941414719106,3,"conformer_7_LasR_above_15.csv"
"766","`output` ~ `B5_4_7` + `diff_NBO_27_29` + `dip_x_1` + `-2-18-`",0.820097863540223,0.765007477283713,6.00560309244805,4,"conformer_7_LasR_above_15.csv"
"1109","`output` ~ `B5_4_7` + `dip_x_1` + `-2-18-` + `-27-29-`",0.813467306326547,0.75599656612013,5.66153154413493,5,"conformer_7_LasR_above_15.csv"
"87601","`output` ~ `loc.B5_4_7` + `NPA_1` + `dip_y_2` + `-25V26-`",0.833875748864507,0.751917334271326,6.77522826748903,6,"conformer_7_LasR_above_15.csv"
"74742","`output` ~ `diff_NBO_1_3` + `dip_x_2` + `dip_y_2` + `-25V26-`",0.815672998638839,0.751043081801753,6.18645726499932,7,"conformer_7_LasR_above_15.csv"
"55551","`output` ~ `NPA_29` + `dip_x_2` + `-23V24-` + `-25V26-`",0.82258887994948,0.747307674017848,7.25644984595149,2,"conformer_0_LasR_above_15.csv"
"9291","`output` ~ `B5_4_7` + `NPA_18` + `NPA_29` + `-2-18-`",0.81560965434428,0.747169550795244,6.04927875918149,8,"conformer_7_LasR_above_15.csv"
