"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B5_4_7` + `NPA_1` + `-1-3-` + `cross_1`",0.835715635563473,0.734386720216629,6.37659898506993,1
"`output` ~ `B5_4_7` + `NPA_1` + `NPA_3` + `cross_1`",0.821902913228224,0.716470962308961,6.56301858938555,2
"`output` ~ `B5_4_7` + `NPA_1` + `diff_NBO_1_3` + `cross_1`",0.821902913228223,0.71647096230896,6.56301858938556,3
"`output` ~ `B5_4_7` + `NPA_3` + `diff_NBO_1_3` + `cross_1`",0.82190291322822,0.716470962308955,6.56301858938563,4
"`output` ~ `B5_4_7` + `dip_x_1` + `-5V6-` + `Dihedral(1_4_7_8)`",0.797202410018319,0.715732556508024,7.40347824535519,5
"`output` ~ `B5_4_7` + `NPA_1` + `NPA_18` + `dip_z_2`",0.800984665694138,0.696640722517883,7.12003439694638,6
"`output` ~ `B5_4_7` + `NPA_1` + `dip_z_2` + `-5V6-`",0.800213204057771,0.69609905299942,7.35986524134609,7
"`output` ~ `B5_4_7` + `NPA_27` + `-5V6-` + `Dihedral(1_4_7_8)`",0.802741919199037,0.696052557948703,7.56041746685857,8
"`output` ~ `B5_4_7` + `NPA_1` + `NPA_18` + `dip_x_1`",0.808868294613157,0.695401520884254,7.12549623582961,9
"`output` ~ `B5_4_7` + `dip_z_2` + `cross_1` + `-5V6-`",0.804823158590074,0.692657475119814,7.97323831568771,10
"`output` ~ `B5_4_7` + `NPA_1` + `cross_1` + `Dist(1, 3)`",0.810017082950127,0.690170255025114,6.86031436756655,11
"`output` ~ `B5_4_7` + `NPA_1` + `dip_z_2` + `-1-3-`",0.800185319350967,0.689362428296117,6.76957499548899,12
"`output` ~ `B5_4_7` + `NPA_1` + `dip_x_1` + `Dihedral(1_2_19_27)`",0.802990005146307,0.688268473428962,7.44458708098015,13
"`output` ~ `B5_4_7` + `dip_x_1` + `cross_1` + `-5V6-`",0.804915606591745,0.685609224800948,8.02525799596298,14
"`output` ~ `B5_4_7` + `NPA_1` + `-1-3-` + `-25V26-`",0.795662350242848,0.683452768149126,6.62855409830609,15
