"","formula","R.sq","Q.sq","MAE","Model","dataset"
"7470","`output` ~ `NPA_2` + `Total_1` + `dip_x_2` + `para.angle_1`",0.814240480488114,0.748746157897633,7.32542169561049,1,"conformer_1_LuxR_above_15.csv"
"7468","`output` ~ `NPA_2` + `Total_1` + `dip_x_2` + `cross.angle_1`",0.807098534613112,0.740259552819161,7.55236748687383,2,"conformer_1_LuxR_above_15.csv"
"67041","`output` ~ `NPA_2` + `diff_NBO_27_29` + `dip_z_1` + `dip_z_2`",0.752519061289425,0.677044839733341,8.08691821017998,3,"conformer_1_LuxR_above_15.csv"
"5505","`output` ~ `Total_1` + `-2-18-` + `cross.angle_1` + `para_1`",0.766638948547755,0.658242085886418,7.74645218647337,4,"conformer_1_LuxR_above_15.csv"
"55152","`output` ~ `Total_1` + `-2-18-` + `para_1` + `para.angle_1`",0.768287325647774,0.657428743520389,7.87018762459066,5,"conformer_1_LuxR_above_15.csv"
"72981","`output` ~ `NPA_2` + `dip_z_1` + `Total_1` + `cross.angle_1`",0.733474025654224,0.65089404303826,8.34114869624279,6,"conformer_1_LuxR_above_15.csv"
"74631","`output` ~ `NPA_2` + `Total_1` + `dip_x_2` + `dip_z_2`",0.744120220786408,0.647093310238249,8.63154187571804,7,"conformer_1_LuxR_above_15.csv"
"59441","`output` ~ `NPA_2` + `NPA_29` + `dip_z_1` + `dip_z_2`",0.737962690131585,0.646986129973001,8.3134385189999,8,"conformer_1_LuxR_above_15.csv"
"7570","`output` ~ `NPA_2` + `Total_1` + `para_1` + `para.angle_1`",0.763635460710459,0.64648184962393,8.44562008225503,9,"conformer_1_LuxR_above_15.csv"
"5660","`output` ~ `NPA_2` + `NPA_27` + `Total_1` + `dip_x_2`",0.743739694477528,0.645007638817452,8.61463652080268,10,"conformer_1_LuxR_above_15.csv"
