"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_x_2` + `-5V6-` + `Dihedral(1_4_7_8)`",0.528076787840324,0.396333288477307,11.8971876641066,1
"`output` ~ `dip_x_2` + `-5V6-` + `Dist(2, 18)`",0.528565460581625,0.385281484614956,11.4411567962101,2
"`output` ~ `dip_x_2` + `Dihedral(1_2_19_27)` + `Dist(2, 18)`",0.50527707411107,0.36222465563239,10.6130270242493,3
"`output` ~ `dip_x_2` + `-2-18-` + `-5V6-`",0.513118242175695,0.351029557313582,11.5486298824733,4
"`output` ~ `diff_NBO_2_18` + `dip_x_2` + `-5V6-`",0.499932113256357,0.335992221570393,11.4516670646286,5
"`output` ~ `dip_z_2` + `-5V6-` + `Dihedral(1_4_7_8)`",0.465983929785402,0.321190225863608,12.5390099016559,6
"`output` ~ `diff_NBO_2_18` + `dip_x_2` + `Dihedral(1_2_19_27)`",0.450780839551994,0.293851783053009,11.0774045238303,7
"`output` ~ `dip_x_2` + `-2-18-` + `Dihedral(1_2_19_27)`",0.453135677520271,0.288461716990012,11.3888490556567,8
"`output` ~ `dip_y_1` + `-5V6-` + `Dist(2, 18)`",0.432542431318301,0.264431572716683,12.7217507592666,9
"`output` ~ `dip_x_2` + `para.angle_1` + `Dist(2, 18)`",0.406921164042624,0.262495898402426,12.6598091836939,10
"`output` ~ `para_1` + `para.angle_1` + `Dist(2, 18)`",0.405108453858808,0.260604065500026,11.5263439373993,11
"`output` ~ `dip_y_1` + `-2-18-` + `-5V6-`",0.446056618624134,0.25929094366298,12.2453230637579,12
"`output` ~ `diff_NBO_2_18` + `para.angle_1` + `Dist(2, 18)`",0.407112676186889,0.257783542811197,12.2531857366698,13
"`output` ~ `dip_x_2` + `-2-18-` + `para.angle_1`",0.400422190814408,0.253971919628409,12.7974755597164,14
"`output` ~ `-2-18-` + `para_1` + `para.angle_1`",0.395765523917446,0.252953619679525,11.5923013477959,15
