"","formula","R.sq","Q.sq","MAE","Model","dataset"
"8128","`output` ~ `NPA_2` + `-2-18-` + `-23V24-` + `Dist(2, 18)`",0.874225948460252,0.785971634071251,9.65554431773834,1,"conformer_0_TraR_above_15.csv"
"3190","`output` ~ `B1_4_7` + `NPA_2` + `-2-18-` + `Dist(2, 18)`",0.83749443050621,0.734838650516508,10.5710966047561,2,"conformer_0_TraR_above_15.csv"
"1288","`output` ~ `diff_NBO_27_29` + `-2-18-` + `-23V24-` + `Dist(2, 18)`",0.808475488341392,0.711682126855701,10.7024550927675,3,"conformer_0_TraR_above_15.csv"
"2172","`output` ~ `B1_4_7` + `NPA_1` + `NPA_29` + `-2-18-`",0.788315216666311,0.698661544925461,10.3610732581059,4,"conformer_0_TraR_above_15.csv"
"59531","`output` ~ `NPA_29` + `-2-18-` + `-23V24-` + `Dist(2, 18)`",0.788743497262132,0.698120418832978,10.4254806660453,5,"conformer_0_TraR_above_15.csv"
"5908","`output` ~ `NPA_29` + `-2-18-` + `cross_1` + `-23V24-`",0.807036085804573,0.697151210031718,11.75594092326,6,"conformer_0_TraR_above_15.csv"
"1267","`output` ~ `diff_NBO_27_29` + `-2-18-` + `para_1` + `Dist(2, 18)`",0.791368275238148,0.689040432119468,10.8870261513416,7,"conformer_0_TraR_above_15.csv"
"9116","`output` ~ `NPA_1` + `NPA_29` + `-2-18-` + `-23V24-`",0.819233763565844,0.686092717845611,12.0774610077484,8,"conformer_0_TraR_above_15.csv"
"62022","`output` ~ `dip_x_2` + `-2-18-` + `para_1` + `Dist(2, 18)`",0.804377924446651,0.677888773452147,11.4782012921692,9,"conformer_0_TraR_above_15.csv"
"81402","`output` ~ `-2-18-` + `-5V6-` + `-23V24-` + `Dist(27, 29)`",0.813616728472923,0.674227999140826,12.2334890596879,10,"conformer_0_TraR_above_15.csv"
