"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `diff_NBO_27_29` + `Total_1` + `cross_1`",0.615968424775526,0.425664968597513,15.9337810708031,1
"`output` ~ `NPA_29` + `Total_1` + `cross_1`",0.574674493170036,0.381469030386898,16.7263079728733,2
"`output` ~ `NPA_27` + `Total_1` + `cross_1`",0.532515708142653,0.320785030550038,16.8698904016785,3
"`output` ~ `Total_1` + `cross_1` + `-25V26-`",0.537489967069623,0.292156870651139,17.2048370779295,4
"`output` ~ `NPA_2` + `Total_1` + `cross_1`",0.503161823816162,0.279981658235357,16.9403131239467,5
"`output` ~ `Total_1` + `-1-3-` + `cross_1`",0.494141970607833,0.266882522089337,18.9735557183929,6
"`output` ~ `dip_z_1` + `Total_1` + `cross_1`",0.480995992323602,0.247083231604355,17.4764340899787,7
"`output` ~ `Total_1` + `cross_1` + `para.angle_1`",0.469453357567587,0.233104112491868,17.0619482016659,8
"`output` ~ `diff_NBO_2_18` + `Total_1` + `cross_1`",0.468447929496364,0.228852962477005,20.0492936734633,9
"`output` ~ `Total_1` + `cross_1` + `Dihedral(1_4_7_8)`",0.461768643339091,0.225765236440689,20.5638810463806,10
"`output` ~ `L_4_7` + `Total_1` + `cross_1`",0.429625138457935,0.225189392740315,18.3220575694382,11
"`output` ~ `Total_1` + `dip_y_2` + `cross_1`",0.44040336108732,0.221510899209964,17.8387620096691,12
"`output` ~ `Total_1` + `cross_1` + `Dist(1, 3)`",0.477544209924569,0.220795642536709,18.5943399323678,13
"`output` ~ `B5_4_7` + `Total_1` + `cross_1`",0.449148662712767,0.220580776715639,18.6421729318306,14
"`output` ~ `NPA_1` + `NPA_29` + `Total_1`",0.433098446490377,0.215302394175362,18.6646337606968,15
