"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `loc.B5_4_7` + `dip_y_2` + `Dihedral(1_2_19_27)`",0.658669414971937,0.55224134027367,10.5682299757339,1
"`output` ~ `NPA_18` + `dip_y_2` + `Dist(27, 29)`",0.635881387127572,0.533295009084629,11.1902146167652,2
"`output` ~ `NPA_18` + `dip_y_2` + `-27-29-`",0.612455552781466,0.497679982670274,11.8144660184096,3
"`output` ~ `NPA_29` + `diff_NBO_27_29` + `dip_y_2`",0.585159468175999,0.464661254325571,12.1768194197074,4
"`output` ~ `NPA_27` + `NPA_29` + `dip_y_2`",0.585159468175996,0.464661254325566,12.176819419707,5
"`output` ~ `NPA_27` + `diff_NBO_27_29` + `dip_y_2`",0.585159468175995,0.464661254325563,12.1768194197069,6
"`output` ~ `B1_B5_angle_4_7` + `-27-29-` + `Dihedral(1_2_19_27)`",0.565054666159368,0.460338270767533,9.76090076189739,7
"`output` ~ `B5_4_7` + `-27-29-` + `Dihedral(1_2_19_27)`",0.577643566777326,0.457765696650369,10.6695308303627,8
"`output` ~ `dip_x_2` + `Dist(2, 18)` + `Dist(27, 29)`",0.556813789446089,0.455981409174837,11.5724847387402,9
"`output` ~ `dip_x_2` + `-2-18-` + `-27-29-`",0.546244047452042,0.454948976379051,11.4657634402824,10
"`output` ~ `B1_B5_angle_4_7` + `dip_y_2` + `Dihedral(1_2_19_27)`",0.585322192210446,0.453773022544215,11.7608463085099,11
"`output` ~ `-27-29-` + `para.angle_1` + `Dihedral(1_2_19_27)`",0.583393082628435,0.453183416284901,10.1890092853175,12
"`output` ~ `dip_x_2` + `-27-29-` + `Dist(2, 18)`",0.548154529488802,0.452410087312224,11.3559751296802,13
"`output` ~ `NPA_27` + `dip_y_2` + `-27-29-`",0.599118389922246,0.44798635999843,12.5473253951092,14
"`output` ~ `B5_4_7` + `NPA_27` + `Dist(27, 29)`",0.574179764023626,0.44692240709191,11.0182414394597,15
