V1,B1_4_7,B5_4_7,L_4_7,loc.B5_4_7,B1_B5_angle_4_7,NPA_1,NPA_3,NPA_2,NPA_18,NPA_27,NPA_29,diff_NBO_1_3,diff_NBO_2_18,diff_NBO_27_29,dip_x_1,dip_y_1,dip_z_1,Total_1,dip_x_2,dip_y_2,dip_z_2,-1-3-,-2-18-,-27-29-,cross_1,cross.angle_1,para_1,para.angle_1,-5V6-,-23V24-,-25V26-,Dihedral(1_4_7_8),Dihedral(1_2_19_27),"Dist(1, 3)","Dist(2, 18)","Dist(27, 29)",output
basic,1.7,3.17,6.38,4.11,90,0.69144,-0.63623,-0.6085,0.41869,0.79232,-0.56737,1.32767,-1.02719,1.35969,-4.4869,-2.2598,-1.4383,5.2257,0.7037,-3.4365,-3.8733,1776.5879,3650.0733,1900.6869,1657.8966,87.2933405647721,1680.0869,2.95324134784284,1461.8734,1491.3961,1532.4906,67.0420461125211,53.9564344925871,1.21618862101444,1.00686448520394,1.19189398344861,15
m_Br,1.75,4.81,6.46,4.51,94,0.69081,-0.63545,-0.60543,0.41789,0.79184,-0.56289,1.32626,-1.02332,1.35473,-5.5356,-2.4676,-0.9765,6.1388,0.4244,-2.6724,-5.5103,1776.3529,3660.2668,1904.1118,1642.9208,81.0081554906325,1667.9244,6.1451454425393,1461.1627,1489.7773,1527.7369,79.1192369404787,54.1197221537488,1.21579789125249,1.00628671537738,1.19118566895384,45
m_CF3,1.75,4.89,6.87,3.65,86,0.69053,-0.63373,-0.60523,0.41687,0.79155,-0.56217,1.32426,-1.0221,1.35372,-6.4569,-1.8168,-0.8896,6.7664,0.2465,-2.0644,-6.439,1777.5133,3661.0634,1904.6009,1668.9007,63.7501431285525,1689.2216,26.0010486508314,1462.1815,1489.5973,1527.3059,80.2111039910039,54.0936584691997,1.21545006521247,1.00616948234927,1.19109460223653,59
m_CF3_p_F,1.92,4.92,6.96,3.55,101,0.68801,-0.6233,-0.61015,0.4115,0.79425,-0.57089,1.31131,-1.02165,1.36514,-6.015,2.3977,-2.8491,7.0743,0.5206,-1.4597,-6.9025,1785.9611,3652.7543,1896.6365,1674.2839,59.1849138678784,1698.0875,31.7332883588652,1461.0195,1492.2889,1526.209,51.0435150553566,51.5550179722042,1.21461158208664,1.00687338358356,1.19251168160148,62
m_Cl,1.7,4.51,6.38,4.44,92,0.69071,-0.63584,-0.60525,0.41794,0.79177,-0.56254,1.32655,-1.02319,1.35431,-5.4118,-2.7773,-0.7151,6.1248,0.4294,-2.6776,-5.4917,1776.3101,3660.3698,1904.6504,1648.5263,85.2866383979965,1672.0908,2.24460814849269,1462.9289,1491.4409,1526.3099,83.0826081155702,54.4063634512559,1.21583702697524,1.00625590392156,1.19112488076356,41
m_CN,1.7,5.12,6.6,4.9,90,0.69018,-0.63163,-0.60467,0.41567,0.7911,-0.56114,1.32181,-1.02034,1.35224,-7.7652,-1.2593,-0.7441,7.9018,0.3341,-0.8288,-7.8511,1779.4678,3663.6007,1905.6728,1656.0639,61.0172719846618,1679.0164,29.5240732535614,1463.8353,1491.8461,1526.9484,86.8328705596908,54.2056126685589,1.21503380168002,1.00604858359475,1.1909593886317,57
m_F,1.7,3.71,6.38,4.23,90,0.69089,-0.63548,-0.60592,0.41797,0.79193,-0.5638,1.32637,-1.02389,1.35573,-5.6246,-2.2271,-0.991,6.1301,0.4727,-2.8641,-5.3992,1776.9045,3658.7405,1903.7306,1667.0679,87.0067836226443,1688.1803,1.97879007129735,1463.7206,1492.3424,1523.6444,76.8072567315185,54.1490300608324,1.21584428616086,1.00637605050597,1.19133195295056,27
m_I,1.79,5.17,6.77,4.62,96,0.69076,-0.63584,-0.60519,0.41808,0.79182,-0.56227,1.3266,-1.02327,1.35409,-5.0988,-3.0587,-0.7208,5.9894,0.4238,-2.7051,-5.3269,1775.536,3659.9995,1904.7949,1637.5145,80.7952297000596,1665.3384,6.26690721218402,1462.9203,1491.0012,1527.7321,84.1198064506318,54.2800058299744,1.21585957642731,1.00623747501571,1.19107075881704,57
m_Me,1.71,4.39,6.37,3.71,82,0.69294,-0.62963,-0.61338,0.4146,0.79477,-0.57735,1.32257,-1.02798,1.37212,-3.5895,-0.4651,-2.5427,4.4233,1.1426,-2.9021,-3.1366,1784.6724,3641.1888,1892.5683,1662.9593,61.2890813144064,1681.7526,28.9512988600737,1459.6435,1491.2731,1528.7548,48.0274285211192,52.6248891259327,1.21557450141199,1.00781410157628,1.19349500106117,35
m_nitro,1.7,4.8,6.9,3.7,90,0.68997,-0.63006,-0.60462,0.41421,0.79065,-0.55977,1.32003,-1.01883,1.35042,-7.3555,-1.7498,-0.4819,7.5761,0.5563,-0.3119,-7.5492,1780.8113,3664.4719,1906.6792,1655.2826,86.8346125258967,1672.5385,11.7257030366491,1464.4619,1491.2944,1527.7588,94.9397523204529,54.1754362645461,1.21481289666063,1.00602204231021,1.19075407340559,54
