"","formula","R.sq","Q.sq","MAE","Model","dataset"
"2882","`output` ~ `NPA_27` + `dip_z_1` + `-1-3-` + `-2-18-`",0.589659675632082,0.479693787386983,15.6200913961649,1,"conformer_7_LuxR.csv"
"531","`output` ~ `diff_NBO_27_29` + `dip_z_1` + `-2-18-` + `-27-29-`",0.595680371129392,0.479013446370077,16.8666930101832,2,"conformer_7_LuxR.csv"
"7357","`output` ~ `NPA_2` + `dip_z_1` + `-1-3-` + `-2-18-`",0.593758743118308,0.477130915626819,16.3262803981363,3,"conformer_7_LuxR.csv"
"4541","`output` ~ `L_4_7` + `NPA_2` + `Total_1` + `dip_z_2`",0.591600673596937,0.474249059109415,17.4242180925997,1,"conformer_6_LuxR.csv"
"5541","`output` ~ `diff_NBO_27_29` + `dip_z_1` + `-27-29-` + `Dist(2, 18)`",0.592240653285339,0.473178862574965,16.552985275043,4,"conformer_7_LuxR.csv"
"1747","`output` ~ `NPA_27` + `diff_NBO_1_3` + `dip_z_1` + `-2-18-`",0.580756100899543,0.466289986899956,15.5189799418105,5,"conformer_7_LuxR.csv"
"5286","`output` ~ `NPA_29` + `dip_z_1` + `Dist(2, 18)` + `Dist(27, 29)`",0.577478313126787,0.464557847498583,17.2491191472361,6,"conformer_7_LuxR.csv"
"5208","`output` ~ `NPA_29` + `dip_z_1` + `-2-18-` + `Dist(27, 29)`",0.576805355615823,0.463979579907944,16.7995059882973,7,"conformer_7_LuxR.csv"
"7369","`output` ~ `NPA_2` + `dip_z_1` + `-1-3-` + `Dist(2, 18)`",0.581052536686249,0.461189842655664,16.8079912905419,8,"conformer_7_LuxR.csv"
"5280","`output` ~ `NPA_29` + `dip_z_1` + `Dihedral(1_4_7_8)` + `Dist(27, 29)`",0.568187255537549,0.452852944480575,17.2649363297468,9,"conformer_7_LuxR.csv"
