"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `NPA_1` + `dip_z_1` + `-25V26-`",0.413542252817291,0.265661331316761,20.1850726275031,1
"`output` ~ `Total_1` + `cross_1` + `-25V26-`",0.405425379964749,0.245059515944494,21.4060946970852,2
"`output` ~ `L_4_7` + `NPA_1` + `dip_z_1`",0.386653663020992,0.242086049462168,19.658725647104,3
"`output` ~ `B1_B5_angle_4_7` + `Total_1` + `-25V26-`",0.395089237083796,0.241684331334934,21.3164471014713,4
"`output` ~ `B1_B5_angle_4_7` + `cross_1` + `-25V26-`",0.408688361901453,0.241100604009888,21.9850476472132,5
"`output` ~ `L_4_7` + `Total_1` + `-25V26-`",0.392359165815019,0.238625639918347,22.3593338468953,6
"`output` ~ `B1_B5_angle_4_7` + `NPA_1` + `dip_z_1`",0.384716357640488,0.238436703984405,20.73347814753,7
"`output` ~ `cross_1` + `-5V6-` + `-25V26-`",0.404068688390608,0.2375766340546,20.935330444262,8
"`output` ~ `B1_B5_angle_4_7` + `NPA_1` + `Dist(27, 29)`",0.367915666263354,0.229113333511536,20.2449506510774,9
"`output` ~ `NPA_1` + `cross_1` + `-25V26-`",0.397836793199994,0.22908469351967,21.3903247178325,10
"`output` ~ `B1_4_7` + `NPA_1` + `dip_z_1`",0.420575316477952,0.225339096507948,20.905428147461,11
"`output` ~ `B1_B5_angle_4_7` + `para_1` + `-25V26-`",0.379037641748624,0.224300738306643,22.0233791336762,12
"`output` ~ `NPA_1` + `diff_NBO_27_29` + `-25V26-`",0.372773774609306,0.224190639192784,21.0568077036589,13
"`output` ~ `NPA_1` + `NPA_29` + `-25V26-`",0.371973761636117,0.222707115833542,21.0318015165908,14
"`output` ~ `NPA_1` + `-25V26-` + `Dist(27, 29)`",0.368176793945611,0.219239959949578,21.0174189096074,15
