V1,B1_4_7,B5_4_7,L_4_7,loc.B5_4_7,B1_B5_angle_4_7,NPA_1,NPA_3,NPA_2,NPA_18,NPA_27,NPA_29,diff_NBO_1_3,diff_NBO_2_18,diff_NBO_27_29,dip_x_1,dip_y_1,dip_z_1,Total_1,dip_x_2,dip_y_2,dip_z_2,-1-3-,-2-18-,-27-29-,cross_1,cross.angle_1,para_1,para.angle_1,-5V6-,-23V24-,-25V26-,Dihedral(1_4_7_8),Dihedral(1_2_19_27),"Dist(1, 3)","Dist(2, 18)","Dist(27, 29)",output
basic,1.7,3.17,6.38,4.11,92,0.69144,-0.63623,-0.6085,0.4187,0.79232,-0.56737,1.32767,-1.0272,1.35969,4.4912,-2.2607,1.4231,5.2256,0.7036,-3.4363,-3.8734,1776.5958,3650.0504,1900.6853,1657.8917,87.3021401697524,1680.0863,2.944728101543,1461.8752,1491.4201,1532.4527,111.580076242868,53.9603409235536,1.21618637735382,1.0068656465239,1.19189390736802,14
m_Br,1.79,4.76,6.51,4.56,94,0.69042,-0.62763,-0.61004,0.41446,0.79405,-0.57261,1.31805,-1.0245,1.36666,2.6469,0.1029,2.4205,3.5882,1.4888,-1.4952,-2.9023,1783.1419,3648.3872,1896.8482,1641.7087,86.9652684089162,1669.5286,0.776691581455042,1458.8066,1491.649,1527.7698,126.139595805467,52.6457123511593,1.21522148525361,1.00707993720211,1.19271364225618,58
m_CF3,1.92,4.78,7.02,3.95,117,0.69011,-0.62427,-0.61073,0.41202,0.79534,-0.57589,1.31438,-1.02275,1.37123,1.4195,1.3602,2.7289,3.3634,2.0534,-0.3072,-2.646,1787.2078,3644.8314,1894.4483,1670.1751,59.3036571481082,1689.3109,31.1316322598817,1461.5445,1490.511,1523.5097,132.290918282846,52.0422429299623,1.21484869611693,1.00722680443582,1.19319715456667,86
m_CF3_p_F,1.91,4.89,6.96,3.59,101,0.68899,-0.62226,-0.61105,0.41182,0.79678,-0.57921,1.31125,-1.02287,1.37599,1.3039,3.1977,3.0439,4.6033,2.3307,0.8329,-3.8813,1789.0301,3646.8947,1892.1686,1673.298,56.7986340047064,1699.0172,34.2040361113156,1462.5265,1492.3212,1526.2583,136.639670123373,51.5374761986874,1.21468132616995,1.00719622821077,1.19368073341158,78
m_Cl,1.74,4.47,6.38,4.48,92,0.69041,-0.62847,-0.60981,0.41492,0.79383,-0.57205,1.31888,-1.02473,1.36588,2.748,-0.1015,2.3642,3.6265,1.4278,-1.6211,-2.9129,1782.8458,3649.7175,1897.3513,1647.9356,88.7048287096878,1672.2895,3.20069460023398,1459.3424,1491.779,1526.5645,125.016170833623,52.7355584489325,1.21529332371736,1.00703337248475,1.19263165565358,65
m_CN,1.7,5.11,6.61,4.91,90,0.68947,-0.62171,-0.61056,0.4119,0.79629,-0.57823,1.31118,-1.02246,1.37452,-0.2853,2.7051,2.9853,4.0387,2.8946,1.466,-2.4048,1788.9614,3647.0092,1892.6928,1653.8062,60.5033703476049,1678.8467,30.8742421381247,1461.3358,1492.364,1526.1514,135.606107107469,51.6775758066007,1.2145675403797,1.00720570325232,1.1935545278122,0
m_F,1.7,3.66,6.39,4.28,90,0.69132,-0.63113,-0.60881,0.41637,0.79265,-0.56987,1.32245,-1.02518,1.36252,3.002,-0.7259,2.05,3.7069,1.2168,-1.9328,-2.9198,1781.657,3650.2227,1898.7429,1668.6438,89.7441952904075,1687.1437,2.2054230377723,1460.0341,1491.9348,1529.5922,119.697366474158,53.3520024208832,1.21550487370393,1.00692302314477,1.19233051034602,63
m_I,1.85,5.13,6.81,4.66,97,0.69051,-0.62788,-0.61,0.41462,0.79408,-0.57258,1.31839,-1.02462,1.36666,2.8141,-0.0609,2.4,3.699,1.4371,-1.6755,-2.9682,1782.9896,3648.1016,1896.9145,1636.7578,84.6569191552614,1666.2326,1.85317738323258,1459.3889,1491.5704,1528.5413,125.55605799282,52.5741794947196,1.21523940905938,1.00706359488862,1.19269791008662,78
m_Me,1.78,4.34,6.37,3.81,81,0.69166,-0.63863,-0.60773,0.4201,0.79217,-0.56603,1.33029,-1.02783,1.3582,4.7604,-3.1111,1.0118,5.7761,0.5236,-3.8528,-4.2715,1775.1058,3652.647,1901.9879,1661.5519,57.073628132011,1682.4186,32.708490948879,1459.3876,1492.1491,1527.0349,105.742524627444,54.2742935213832,1.21648932994334,1.0068175830909,1.19167443316579,78
m_nitro,1.7,4.8,6.9,3.7,90,0.68922,-0.62101,-0.61045,0.41112,0.79683,-0.57908,1.31023,-1.02157,1.37591,-0.3638,2.9465,3.0656,4.2675,3.0183,1.5199,-2.606,1789.4279,3649.3996,1892.2427,1653.3575,89.1358282292513,1670.7064,19.4861742738142,1462.2271,1491.9564,1526.1083,137.382565212701,51.5617160789614,1.21448897389931,1.0071320038704,1.19366194207657,-15
m_OMe,1.75,4.51,7.11,5.87,93,0.69186,-0.63803,-0.6075,0.41986,0.79217,-0.56653,1.32989,-1.02736,1.3587,4.3465,-4.0354,1.1749,6.0463,0.7432,-4.8178,-3.5768,1775.7374,3651.3293,1900.9447,1657.1235,68.1967641059433,1687.4497,22.7063600188493,1461.6038,1488.9864,1527.7273,108.194721031548,54.2400858431982,1.21641489695663,1.00686017514002,1.19176906585336,71
m_SMe,1.75,4.47,7.66,4.39,94,0.69155,-0.63556,-0.60804,0.41862,0.79232,-0.56752,1.32711,-1.02666,1.35984,3.8834,-3.3704,1.3958,5.3281,0.9037,-4.353,-2.9366,1777.3146,3651.4548,1900.0576,1641.9779,71.8729020126597,1670.0867,19.8904799839756,1459.0147,1489.4018,1527.3483,112.023380282749,54.0203584941073,1.21612860586124,1.00687115057539,1.19192639961576,93
mm_CF3,2.2,4.9,7.01,3.63,77,0.68859,-0.61792,-0.61009,0.40887,0.79627,-0.57566,1.30651,-1.01896,1.37193,3.2152,3.461,3.0926,5.6462,1.6432,-0.3473,-5.3907,1791.9011,3645.5623,1893.595,1693.23,65.7724399787593,1690.9669,23.7032499430513,1462.9983,1491.659,1528.0652,137.182336474819,51.0844490439416,1.21399149410776,1.00720341182603,1.19326667635948,0
mp_Cl,1.73,4.5,7.82,4.44,91,0.68992,-0.62394,-0.61074,0.41206,0.79554,-0.57601,1.31386,-1.0228,1.37155,2.6252,2.013,2.8743,4.3824,1.6976,-0.4299,-4.0173,1787.5389,3646.2857,1894.0368,1630.4616,82.1672488765302,1667.7047,10.954610942147,1463.3151,1492.0455,1525.9595,133.144558410335,51.8776382383729,1.21482133366228,1.00722714071554,1.19320826593265,39
o_Br,1.76,4.81,6.4,1.33,94,0.69068,-0.62347,-0.61203,0.40895,0.79788,-0.57823,1.31415,-1.02098,1.37611,1.2619,1.3043,3.6135,4.0436,1.993,-2.46,-2.5153,1791.2887,3650.3167,1892.5819,1640.5424,82.7071298175564,1666.7016,1.69359831406327,1466.9202,1491.1845,1525.192,165.259517082297,52.5206254583894,1.21511342998298,1.00691784980802,1.19356411443165,38
o_Cl,1.72,4.52,6.4,1.39,92,0.69098,-0.62317,-0.61273,0.40955,0.79771,-0.57844,1.31415,-1.02228,1.37615,1.5638,0.8547,3.6408,4.0536,1.9065,-2.5502,-2.5087,1790.6262,3646.6213,1892.3142,1645.1788,81.3557136907731,1670.0328,4.66575487319386,1465.598,1492.1037,1531.206,160.468579614046,52.1316828774195,1.21503782886995,1.00710614674621,1.19358314256276,53
