"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `diff_NBO_2_18` + `dip_y_2` + `cross_1`",0.582819963665808,0.470649408478682,18.9590289413146,1
"`output` ~ `-2-18-` + `cross_1` + `Dihedral(1_2_19_27)`",0.557757524813994,0.467999438702929,17.9906974798352,2
"`output` ~ `cross_1` + `Dihedral(1_2_19_27)` + `Dist(2, 18)`",0.553156196694522,0.461938063124311,18.0593376042859,3
"`output` ~ `dip_x_2` + `-2-18-` + `cross_1`",0.564304863726332,0.454668690308608,18.3784302788563,4
"`output` ~ `-2-18-` + `cross_1` + `-5V6-`",0.541004439093947,0.448058396097057,18.1743800242342,5
"`output` ~ `diff_NBO_2_18` + `cross_1` + `Dihedral(1_2_19_27)`",0.541011763597172,0.447506714343579,17.4879194674106,6
"`output` ~ `diff_NBO_2_18` + `cross_1` + `-5V6-`",0.540894751404902,0.444648702807749,18.0929797280045,7
"`output` ~ `dip_x_2` + `cross_1` + `Dist(2, 18)`",0.556811201004728,0.443010146836672,18.6605681841208,8
"`output` ~ `diff_NBO_2_18` + `dip_x_2` + `cross_1`",0.548597299110183,0.437249071612583,18.5924860281346,9
"`output` ~ `NPA_2` + `cross_1` + `Dist(27, 29)`",0.527101535848677,0.436146133628004,18.5218942734067,10
"`output` ~ `NPA_2` + `NPA_29` + `cross_1`",0.526791735244345,0.435835474133156,18.7438266835419,11
"`output` ~ `NPA_2` + `dip_x_2` + `cross_1`",0.538979347691927,0.432267414258557,18.9274490514533,12
"`output` ~ `NPA_2` + `-27-29-` + `cross_1`",0.522613525914748,0.430089884256233,18.6916197055539,13
"`output` ~ `NPA_2` + `diff_NBO_27_29` + `cross_1`",0.520503433698198,0.427204757147679,19.1063539328181,14
"`output` ~ `NPA_29` + `diff_NBO_2_18` + `cross_1`",0.514554725059335,0.427079348719419,17.6050741874818,15
