structure,energy
structure_0,-47.4688901700000
structure_1,-47.4688898700000
structure_2,-47.4688537300000
structure_3,-47.4688532400000
structure_4,-47.4687953400000
structure_5,-47.4687937100000
structure_6,-47.4687772100000
structure_7,-47.4687708200000
structure_8,-47.4687596100000
structure_9,-47.4687008700000
structure_10,-47.4686991700000
structure_11,-47.4686852800000
structure_12,-47.4686851900000
structure_13,-47.4686728000000
structure_14,-47.4686305000000
structure_15,-47.4683182500000
structure_16,-47.4674366500000
structure_17,-47.4674364800000
structure_18,-47.4674145600000
structure_19,-47.4674044500000
structure_20,-47.4674018600000
structure_21,-47.4673388100000
structure_22,-47.4673386900000
structure_23,-47.4670462900000
structure_24,-47.4670443800000
structure_25,-47.4669437200000
structure_26,-47.4668066300000
structure_27,-47.4666037600000
structure_28,-47.4666030200000
structure_29,-47.4665703300000
structure_30,-47.4665695500000
structure_31,-47.4665107000000
structure_32,-47.4665081300000
structure_33,-47.4664474700000
structure_34,-47.4664252800000
structure_35,-47.4662044500000
structure_36,-47.4661799700000
structure_37,-47.4658751000000
structure_38,-47.4658726500000
structure_39,-47.4658669000000
structure_40,-47.4658361500000
structure_41,-47.4657951700000
structure_42,-47.4657588400000
structure_43,-47.4656232600000
structure_44,-47.4652498300000
structure_45,-47.4642215900000
structure_46,-47.4641699700000
structure_47,-47.4638438000000
structure_48,-47.4632924900000
structure_49,-47.4632792700000
structure_50,-47.4630784500000
structure_51,-47.4630233000000
structure_52,-47.4627477600000
structure_53,-47.4627466800000
structure_54,-47.4627155900000
structure_55,-47.4625573200000
