"","RMSD"
"structure_00",0
"structure_01",1.81791293957166
"structure_02",0.510650240312324
"structure_03",1.88565744795668
"structure_04",3.41007072881447
"structure_05",3.30773998201501
"structure_06",3.41640026858277
"structure_07",3.30418127873738
"structure_08",3.61833669565222
"structure_09",3.14929974690598
"structure_10",3.22345315857346
"structure_11",3.12824546616018
"structure_12",3.05713387922695
"structure_13",3.20514144795192
"structure_14",2.81355219545537
"structure_15",2.32160258902753
"structure_16",1.93530252798563
"structure_17",2.6030866336743
"structure_18",1.83058858802864
"structure_19",2.56008306680965
"structure_20",1.78941898536157
"structure_21",1.83365090640278
"structure_22",2.51017181552345
"structure_23",3.57450392835049
"structure_24",3.60455592310046
"structure_25",3.36598228312997
"structure_26",2.65523234505135
"structure_27",1.03293181969476
"structure_28",2.09493391509629
"structure_29",3.48126257016241
"structure_30",3.35847942763717
"structure_31",3.14692087044266
"structure_32",3.26528160289536
"structure_33",3.11956064938196
"structure_34",2.61715918763996
"structure_35",3.88734192484912
"structure_36",0.799346996206796
"structure_37",3.4393367291604
"structure_38",3.38656537059457
"structure_39",3.27519706050986
"structure_40",3.48734651299869
"structure_41",3.42019878994754
"structure_42",3.36488371311084
"structure_43",3.50245651842364
"structure_44",2.00988114333779
"structure_45",4.40850566186431
"structure_46",2.86357173534177
"structure_47",4.64744822530564
"structure_48",3.8342070932773
"structure_49",4.0152322708183
"structure_50",3.62263220895792
"structure_51",4.15008653756887
"structure_52",4.07004765239409
"structure_53",4.23814744389655
"structure_54",4.16793532629022
"structure_55",4.16154698917403
